GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1319610915,20250824,202508,2025,2025.6411,USA,UNITED STATES,USA,,,,,,,,ISR,ISRAELI,ISR,,,,,,,,0,030,030,03,1,4.0,2,1,2,-6.88405797101449,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260824014500,https://www.nbclosangeles.com/entertainment/entertainment-news/paramount-skydance-mark-ruffalo-antisemitism-charge-merger-criticism/3932825/
1319610916,20260725,202607,2026,2026.5616,DEU,GERMAN,DEU,,,,,,,,DEUGOV,GERMANY,DEU,,,,,GOV,,,1,173,173,17,4,-5.0,4,1,4,-5.31914893617021,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,1,Ukraine,UP,UP,,49,32,UP,20260824014500,https://en.tempo.co/read/2118183/zelenskyy-repeats-ukraine-not-behind-nord-stream-attack
1319610917,20260725,202607,2026,2026.5616,GBR,UNITED KINGDOM,GBR,,,,,,,,GBRGOV,BRITISH,GBR,,,,,GOV,,,0,138,138,13,3,-7.0,7,1,7,0,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,1,United Kingdom,UK,UK,,54,-4,UK,20260824014500,https://www.lbc.co.uk/article/britain-ukraine-long-range-missiles-burnham-5HjdgQH_2/
1319610918,20260725,202607,2026,2026.5616,UKR,UKRAINIAN,UKR,,,,,,,,DEU,GERMAN,DEU,,,,,,,,1,173,173,17,4,-5.0,4,1,4,-5.31914893617021,1,Ukraine,UP,UP,,49,32,UP,1,Germany,GM,GM,,51.5,10.5,GM,1,Ukraine,UP,UP,,49,32,UP,20260824014500,https://en.tempo.co/read/2118183/zelenskyy-repeats-ukraine-not-behind-nord-stream-attack
1319610919,20260725,202607,2026,2026.5616,UKR,UKRAINIAN,UKR,,,,,,,,DEUGOV,GERMAN,DEU,,,,,GOV,,,1,173,173,17,4,-5.0,6,1,6,-5.31914893617021,1,Ukraine,UP,UP,,49,32,UP,1,Germany,GM,GM,,51.5,10.5,GM,1,Ukraine,UP,UP,,49,32,UP,20260824014500,https://en.tempo.co/read/2118183/zelenskyy-repeats-ukraine-not-behind-nord-stream-attack
1319610920,20260817,202608,2026,2026.6219,,,,,,,,,,,AUS,AUSTRALIAN,AUS,,,,,,,,0,040,040,04,1,1.0,1,1,1,-7.08661417322835,0,,,,,,,,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,20260824014500,https://www.perthnow.com.au/news/world/simon-peter-carman-breaks-silence-from-thailand-jail-over-alleged-murder-of-teen-tunchanok-donhomla-c-22767313
1319610921,20260817,202608,2026,2026.6219,,,,,,,,,,,AUS,AUSTRALIAN,AUS,,,,,,,,0,040,040,04,1,1.0,1,1,1,-7.08661417322835,0,,,,,,,,4,"Pattaya, Chon Buri, Thailand",TH,TH46,26532,12.9333,100.883,-3242432,4,"Pattaya, Chon Buri, Thailand",TH,TH46,26532,12.9333,100.883,-3242432,20260824014500,https://www.perthnow.com.au/news/world/simon-peter-carman-breaks-silence-from-thailand-jail-over-alleged-murder-of-teen-tunchanok-donhomla-c-22767313
1319610922,20260817,202608,2026,2026.6219,,,,,,,,,,,AUSGOV,AUSTRALIAN,AUS,,,,,GOV,,,0,040,040,04,1,1.0,4,1,4,-7.08661417322835,0,,,,,,,,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,20260824014500,https://www.perthnow.com.au/news/world/simon-peter-carman-breaks-silence-from-thailand-jail-over-alleged-murder-of-teen-tunchanok-donhomla-c-22767313
1319610923,20260817,202608,2026,2026.6219,,,,,,,,,,,AUSGOV,AUSTRALIA,AUS,,,,,GOV,,,0,040,040,04,1,1.0,2,1,2,-7.08661417322835,0,,,,,,,,4,"Pattaya, Chon Buri, Thailand",TH,TH46,26532,12.9333,100.883,-3242432,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,20260824014500,https://www.perthnow.com.au/news/world/simon-peter-carman-breaks-silence-from-thailand-jail-over-alleged-murder-of-teen-tunchanok-donhomla-c-22767313
1319610924,20260817,202608,2026,2026.6219,AUS,AUSTRALIAN,AUS,,,,,,,,,,,,,,,,,,0,040,040,04,1,1.0,1,1,1,-7.08661417322835,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,0,,,,,,,,4,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,20260824014500,https://www.perthnow.com.au/news/world/simon-peter-carman-breaks-silence-from-thailand-jail-over-alleged-murder-of-teen-tunchanok-donhomla-c-22767313
