GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1318883686,20250819,202508,2025,2025.6274,POL,POLAND,POL,,,,,,,,,,,,,,,,,,0,172,172,17,4,-5.0,4,1,4,-6.86378035902851,1,Poland,PL,PL,,52,20,PL,0,,,,,,,,1,Poland,PL,PL,,52,20,PL,20260819000000,https://www.chathamdailynews.ca:443/feature/man-guilty-trying-murder-sarnia-cop
1318883687,20250819,202508,2025,2025.6274,PTY,POLITICIAN,,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,10,1,10,-1.1949215832711,4,"Dublin, Dublin, Ireland",EI,EI07,18288,53.3331,-6.24889,-1502554,0,,,,,,,,4,"Dublin, Dublin, Ireland",EI,EI07,18288,53.3331,-6.24889,-1502554,20260819000000,https://www.thejournal.ie/brittas-homes-7134201-Aug2026/
1318883688,20260720,202607,2026,2026.5479,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,0,120,120,12,3,-4.0,5,1,5,-3.45125107851596,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,0,,,,,,,,2,"New Mexico, United States",US,USNM,,34.8375,-106.237,NM,20260819000000,https://indiacurrents.com/states-take-meta-to-trial-in-california-over-social-media-harm-to-children/
1318883689,20260720,202607,2026,2026.5479,GOV,PRESIDENT,,,,,,GOV,,,USA,AMERICAN,USA,,,,,,,,0,010,010,01,1,0.0,3,3,3,-5.88712282076127,1,China,CH,CH,,35,105,CH,2,"California, United States",US,USCA,,36.17,-119.746,CA,1,China,CH,CH,,35,105,CH,20260819000000,https://nebraska.tv/news/nation-world/swalwell-and-fang-fang-declassified-fbi-files-reveal-physical-relationship-chinese-intelligence-congressional-office
1318883690,20260720,202607,2026,2026.5479,GOV,PRESIDENT,,,,,,GOV,,,USA,AMERICAN,USA,,,,,,,,0,010,010,01,1,0.0,3,3,3,-5.88712282076127,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260819000000,https://nebraska.tv/news/nation-world/swalwell-and-fang-fang-declassified-fbi-files-reveal-physical-relationship-chinese-intelligence-congressional-office
1318883691,20260720,202607,2026,2026.5479,USA,WASHINGTON,USA,,,,,,,,MIL,NAVY,,,,,,MIL,,,1,042,042,04,1,1.9,15,2,15,-3.72530864197531,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260819000000,https://www.dailypress.com/2026/08/18/navy-destroyer-benfold/
1318883692,20260812,202608,2026,2026.6082,,,,,,,,,,,COP,POLICE,,,,,,COP,,,0,141,141,14,3,-6.5,10,1,10,-5.06756756756757,0,,,,,,,,4,"Saskatoon, Saskatchewan, Canada",CA,CA11,154724,52.1333,-106.667,-573213,4,"Saskatoon, Saskatchewan, Canada",CA,CA11,154724,52.1333,-106.667,-573213,20260819000000,https://www.cjme.com/2026/08/18/saskatoon-anti-abortion-protest-sparks-graphic-image-bylaw-petition/
1318883693,20260812,202608,2026,2026.6082,AGR,FARMER,,,,,,AGR,,,USA,SOUTH DAKOTA,USA,,,,,,,,1,080,080,08,2,5.0,2,1,2,-0.18691588785047,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2,"Illinois, United States",US,USIL,,40.3363,-89.0022,IL,2,"Illinois, United States",US,USIL,,40.3363,-89.0022,IL,20260819000000,https://www.manitobacooperator.ca/daily/variable-weather-knocks-south-dakota-ohio-corn-prospects-crop-tour-finds/
1318883694,20260812,202608,2026,2026.6082,AGR,FARMER,,,,,,AGR,,,USA,SOUTH DAKOTA,USA,,,,,,,,1,080,080,08,2,5.0,8,1,8,-0.18691588785047,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20260819000000,https://www.manitobacooperator.ca/daily/variable-weather-knocks-south-dakota-ohio-corn-prospects-crop-tour-finds/
1318883695,20260812,202608,2026,2026.6082,COP,LAW ENFORCEMENT AGENCIES,,,,,,COP,,,,,,,,,,,,,0,010,010,01,1,0.0,2,1,2,-1.46198830409356,2,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,0,,,,,,,,2,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,20260819000000,https://www.keenesentinel.com/news/local/automated-license-plate-reader-alpr-flock-security-camera-peterborough-nh-2026/article_fcfc5f66-1332-42cc-938c-3d9d21681a24.html
