GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301701269,20260423,202604,2026,2026.3096,PTY,PARTY LEADER,,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,020,020,02,1,3.0,2,1,2,-6.53386454183267,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701270,20260423,202604,2026,2026.3096,USA,CALIFORNIA,USA,,,,,,,,AREGOV,UNITED ARAB EMIRATES,ARE,,,,,GOV,,,1,112,112,11,3,-2.0,8,1,8,-10.3347889374091,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20260430013000,https://www.fox7austin.com/news/global-crypto-scam-crackdown-270-arrests-dubai-fbi
1301701271,20260423,202604,2026,2026.3096,USA,CALIFORNIA,USA,,,,,,,,AREGOV,UNITED ARAB EMIRATES,ARE,,,,,GOV,,,1,112,112,11,3,-2.0,2,1,2,-10.3347889374091,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,4,"Tai Chang, Hunan, China",CH,CH11,13141,28.4447,110.377,6160692,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20260430013000,https://www.fox7austin.com/news/global-crypto-scam-crackdown-270-arrests-dubai-fbi
1301701272,20260423,202604,2026,2026.3096,USACVL,VIRGINIA,USA,,,,,CVL,,,,,,,,,,,,,1,0834,083,08,2,5.0,6,1,6,-0.17985611510791,3,"Virginia Supreme Court, Virginia, United States",US,USVA,VA760,37.5396,-77.4358,1780743,0,,,,,,,,3,"Virginia Supreme Court, Virginia, United States",US,USVA,,37.5396,-77.4358,1780743,20260430013000,https://newsone.com/6858849/virginia-supreme-court-redistricting-vote-certification/
1301701273,20260429,202604,2026,2026.3260,COP,POLICE,,,,,,COP,,,NZL,CHRISTCHURCH,NZL,,,,,,,,1,010,010,01,1,0.0,5,1,5,-5.88235294117647,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260430013000,https://www.odt.co.nz/news/national/prolific-fuel-thief-busted-over-23-petrol-drive-offs
1301701274,20260429,202604,2026,2026.3260,GOV,PRESIDENT,,,,,,GOV,,,,,,,,,,,,,0,043,043,04,1,2.8,6,1,6,-0.732064421669099,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701275,20260429,202604,2026,2026.3260,NGA,NIGERIA,NGA,,,,,,,,GOV,CHIEF EXECUTIVE,,,,,,GOV,,,1,110,110,11,3,-2.0,4,1,4,0.961538461538458,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20260430013000,https://thesun.ng/tinubu-sacks-nmdpra-ceo-names-abdullahi-umar-as-replacement/
1301701276,20260429,202604,2026,2026.3260,NGA,NIGERIA,NGA,,,,,,,,GOV,CHIEF EXECUTIVE,,,,,,GOV,,,1,110,110,11,3,-2.0,6,1,6,0.961538461538458,4,"Ashaka, Gombe, Nigeria",NI,NI55,191090,10.8334,11.5118,-2000614,4,"Ashaka, Gombe, Nigeria",NI,NI55,191090,10.8334,11.5118,-2000614,4,"Ashaka, Gombe, Nigeria",NI,NI55,191090,10.8334,11.5118,-2000614,20260430013000,https://thesun.ng/tinubu-sacks-nmdpra-ceo-names-abdullahi-umar-as-replacement/
1301701277,20260429,202604,2026,2026.3260,NZL,NEW ZEALAND,NZL,,,,,,,,,,,,,,,,,,1,112,112,11,3,-2.0,2,1,2,-7.18789407313997,4,"Waitaanga, New Zealand (general), New Zealand",NZ,NZ00,22390,-38.8333,174.833,-1520987,0,,,,,,,,4,"Waitaanga, New Zealand (general), New Zealand",NZ,NZ00,22390,-38.8333,174.833,-1520987,20260430013000,https://www.odt.co.nz/news/national/remains-man-allegedly-murdered-found-burnt-out-ruins-home
1301701278,20260430,202604,2026,2026.3288,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,0,010,010,01,1,0.0,8,1,8,0.77669902912621,0,,,,,,,,4,"Michelago, New South Wales, Australia",AS,AS02,4940,-35.7167,149.167,-1587220,4,"Michelago, New South Wales, Australia",AS,AS02,4940,-35.7167,149.167,-1587220,20260430013000,https://www.dailymail.com/news/article-15774419/Michelago-General-Store-cafe-owner-defends-staff.html
