GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1301701633,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,NPL,NEPAL,NPL,,,,,,,,1,057,057,05,1,8.0,1,1,1,4.59770114942529,4,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,4,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701634,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,NPL,NEPAL,NPL,,,,,,,,1,057,057,05,1,8.0,4,1,4,4.59770114942529,1,China,CH,CH,,35,105,CH,4,"Kathmandu, Bagmati, Nepal",NP,NP01,22353,27.7167,85.3167,-1022136,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701635,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,010,010,01,1,0.0,5,1,5,-0.981767180925671,1,China,CH,CH,,35,105,CH,1,Russia,RS,RS,,60,100,RS,1,Russia,RS,RS,,60,100,RS,20260430013000,https://asianews.network/the-international-system-remains-uni-multipolar-with-the-us-at-its-core/
1301701636,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,010,010,01,1,0.0,5,1,5,-0.981767180925671,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,1,Iran,IR,IR,,32,53,IR,20260430013000,https://asianews.network/the-international-system-remains-uni-multipolar-with-the-us-at-its-core/
1301701637,20260430,202604,2026,2026.3288,CHN,SHANGHAI,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,042,042,04,1,1.9,4,1,4,2.94117647058824,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,20260430013000,http://www.bjreview.com/Latest_Headlines/202604/t20260430_800436444.html
1301701638,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,112,112,11,3,-2.0,5,1,5,-5.6980056980057,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260430013000,https://ianslive.in/iran-war-raises-concerns-over-us-focus-on-china--20260430060004
1301701639,20260430,202604,2026,2026.3288,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,130,130,13,3,-4.4,5,1,5,-5.6980056980057,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260430013000,https://ianslive.in/iran-war-raises-concerns-over-us-focus-on-china--20260430060004
1301701640,20260430,202604,2026,2026.3288,CHN,CHINESE,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,172,172,17,4,-5.0,2,1,2,-6.22568093385214,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260430013000,https://www.dailyexcelsior.com/beijing-clamps-down-on-drones-sales-banned-citywide-from-may-1/
1301701641,20260430,202604,2026,2026.3288,CHNBUS,CHINESE,CHN,,,,,BUS,,,,,,,,,,,,,1,172,172,17,4,-5.0,3,1,3,-6.22568093385214,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260430013000,https://www.dailyexcelsior.com/beijing-clamps-down-on-drones-sales-banned-citywide-from-may-1/
1301701642,20260430,202604,2026,2026.3288,CHNCVL,SHANGHAI,CHN,,,,,CVL,,,CHN,BEIJING,CHN,,,,,,,,1,043,043,04,1,2.8,1,1,1,2.94117647058824,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Kinmen, Jinmen Xian, Taiwan",TW,TW13,13009,24.4367,118.318,-2628169,20260430013000,http://www.bjreview.com/Latest_Headlines/202604/t20260430_800436444.html
1301701643,20260430,202604,2026,2026.3288,CHNCVL,CHINA,CHN,,,,,CVL,,,TWN,TAIWAN,TWN,,,,,,,,1,042,042,04,1,1.9,2,1,2,2.94117647058824,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,5,"Fujian, Fujian, China",CH,CH07,13011,26.545,117.843,-1905684,20260430013000,http://www.bjreview.com/Latest_Headlines/202604/t20260430_800436444.html
1301701644,20260430,202604,2026,2026.3288,CHNGOV,CHINA,CHN,,,,,GOV,,,CHNBUS,CHINA,CHN,,,,,BUS,,,1,013,013,01,1,0.4,2,1,2,4.59770114942529,4,"Balaju, Nepal (general), Nepal",NP,NP00,22353,27.7333,85.3,-1021673,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701645,20260430,202604,2026,2026.3288,CHNGOV,CHINESE,CHN,,,,,GOV,,,CHNBUS,CHINESE,CHN,,,,,BUS,,,1,013,013,01,1,0.4,4,1,4,4.59770114942529,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701646,20260430,202604,2026,2026.3288,CHNGOV,CHINA,CHN,,,,,GOV,,,CHNBUS,CHINA,CHN,,,,,BUS,,,1,0211,021,02,1,3.4,2,1,2,4.59770114942529,4,"Balaju, Nepal (general), Nepal",NP,NP00,22353,27.7333,85.3,-1021673,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701647,20260430,202604,2026,2026.3288,CHNGOV,CHINESE,CHN,,,,,GOV,,,CHNBUS,CHINESE,CHN,,,,,BUS,,,1,0211,021,02,1,3.4,4,1,4,4.59770114942529,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,1,China,CH,CH,,35,105,CH,20260430013000,https://asianews.network/nepal-china-sign-agreement-for-second-phase-of-ring-road-expansion/
1301701648,20260430,202604,2026,2026.3288,CHNGOV,XI JINPING,CHN,,,,,GOV,,,IDN,INDONESIA,IDN,,,,,,,,0,173,173,17,4,-5.0,4,1,4,4.47414294015108,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,20260430013000,http://www.bjreview.com/World/202604/t20260430_800436443.html
1301701649,20260430,202604,2026,2026.3288,CHNGOV,XI JINPING,CHN,,,,,GOV,,,IDN,INDONESIA,IDN,,,,,,,,0,173,173,17,4,-5.0,12,1,7,4.47414294015108,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,20260430013000,http://www.bjreview.com/World/202604/t20260430_800436443.html
1301701650,20260430,202604,2026,2026.3288,CHNGOV,XI JINPING,CHN,,,,,GOV,,,IDN,INDONESIA,IDN,,,,,,,,0,173,173,17,4,-5.0,4,1,3,4.47414294015108,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,20260430013000,http://www.bjreview.com/World/202604/t20260430_800436443.html
1301701651,20260430,202604,2026,2026.3288,CHNGOV,XI JINPING,CHN,,,,,GOV,,,MED,MEDIA,,,,,,MED,,,0,040,040,04,1,1.0,2,1,2,4.47414294015108,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,18585,-6.17444,106.829,-2679652,20260430013000,http://www.bjreview.com/World/202604/t20260430_800436443.html
1301701652,20260430,202604,2026,2026.3288,CHNGOV,XI JINPING,CHN,,,,,GOV,,,MED,MEDIA,,,,,,MED,,,0,040,040,04,1,1.0,8,1,8,4.47414294015108,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,4,"Chang Bo, Guangdong, China",CH,CH30,13035,20.6676,109.855,10289510,20260430013000,http://www.bjreview.com/World/202604/t20260430_800436443.html
1301701653,20260430,202604,2026,2026.3288,CHR,CHRISTIAN,,,,CHR,,,,,EUR,EUROPE,EUR,,,,,,,,1,100,100,10,3,-5.0,8,1,8,-0.732064421669099,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701654,20260430,202604,2026,2026.3288,CHR,CHRISTIAN,,,,CHR,,,,,GBR,BRITAIN,GBR,,,,,,,,1,100,100,10,3,-5.0,8,1,8,-0.732064421669099,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701655,20260430,202604,2026,2026.3288,CHR,CHRISTIAN,,,,CHR,,,,,GBREDU,UNITED KINGDOM,GBR,,,,,EDU,,,1,010,010,01,1,0.0,1,1,1,-0.732064421669099,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701656,20260430,202604,2026,2026.3288,CHR,CHRISTIAN,,,,CHR,,,,,GBREDU,UNITED KINGDOM,GBR,,,,,EDU,,,1,010,010,01,1,0.0,1,1,1,-0.732064421669099,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701657,20260430,202604,2026,2026.3288,CHR,CHRISTIAN,,,,CHR,,,,,ISR,ISRAEL,ISR,,,,,,,,1,010,010,01,1,0.0,6,1,6,-0.732064421669099,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260430013000,https://www.yahoo.com/news/articles/leaked-audio-shocker-uk-envoy-163416016.html
1301701658,20260430,202604,2026,2026.3288,CHRPRO230,METHODIST,,,,CHR,PRO,,,,AFR,AFRICA,AFR,,,,,,,,1,051,051,05,1,3.4,5,1,5,2.8957528957529,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260430013000,https://www.theroot.com/morris-brown-is-back-full-accreditation-after-20-years-2000102334
1301701659,20260430,202604,2026,2026.3288,COL,COLOMBIA,COL,,,,,,,,NLD,THE NETHERLAND,NLD,,,,,,,,1,043,043,04,1,2.8,5,1,5,-0.75187969924812,1,Tuvalu,TV,TV,,-8,178,TV,1,Tuvalu,TV,TV,,-8,178,TV,1,Tuvalu,TV,TV,,-8,178,TV,20260430013000,https://www.kasu.org/weather-environment-infrastructure/2026-04-29/in-the-midst-of-an-energy-crisis-countries-make-plans-to-ditch-oil-gas-and-coal
1301701660,20260430,202604,2026,2026.3288,COL,COLOMBIAN,COL,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,0841,084,08,2,7.0,2,1,2,0.27472527472528,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,20260430013000,https://www.fox7austin.com/news/descendants-pablo-escobars-hippos-may-get-second-chances
1301701661,20260430,202604,2026,2026.3288,COLGOV,COLOMBIAN,COL,,,,,GOV,,,USA,AMERICAN,USA,,,,,,,,1,0841,084,08,2,7.0,5,1,5,0.27472527472528,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,4,"Hacienda Napoles, Magdalena, Colombia",CO,CO38,14022,10.6628,-74.2647,-593213,20260430013000,https://www.fox7austin.com/news/descendants-pablo-escobars-hippos-may-get-second-chances
1301701662,20260430,202604,2026,2026.3288,COP,DETECTIVE,,,,,,COP,,,,,,,,,,,,,0,040,040,04,1,1.0,6,1,6,-8.53658536585363,4,"Silverwater, New South Wales, Australia",AS,AS02,5096,-33.104,151.564,11430694,0,,,,,,,,4,"Silverwater, New South Wales, Australia",AS,AS02,5096,-33.104,151.564,11430694,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701663,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,0,042,042,04,1,1.9,10,1,10,-3.55555555555556,4,"Alice Springs, Northern Territory, Australia",AS,AS03,5120,-23.6975,133.884,-1555489,0,,,,,,,,4,"Alice Springs, Northern Territory, Australia",AS,AS03,5120,-23.6975,133.884,-1555489,20260430013000,https://www.dailymail.com/news/article-15777581/sharon-granites-missing-alice-springs-police-fears-abduction-group.html
1301701664,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,043,043,04,1,2.8,10,1,10,-3.55555555555556,5,"Northern Territory, Northern Territory, Australia",AS,AS03,40197,-20,134,-1592100,0,,,,,,,,5,"Northern Territory, Northern Territory, Australia",AS,AS03,40197,-20,134,-1592100,20260430013000,https://www.dailymail.com/news/article-15777581/sharon-granites-missing-alice-springs-police-fears-abduction-group.html
1301701665,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,043,043,04,1,2.8,2,1,2,1.6260162601626,4,"Surat, Gujarat, India",IN,IN09,70127,20.9667,72.9,-2098110,0,,,,,,,,4,"Surat, Gujarat, India",IN,IN09,70127,20.9667,72.9,-2098110,20260430013000,https://timesofindia.indiatimes.com/city/surat/surat-police-to-host-weapons-expo-mashal-pt-for-gujarat-day-celebrations/articleshow/130616866.cms
1301701666,20260430,202604,2026,2026.3288,COP,DETECTIVE,,,,,,COP,,,,,,,,,,,,,1,060,060,06,2,6.0,10,1,10,-10.483870967742,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,0,,,,,,,,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/teen-charged-after-woman-dies-from-gunshot-wound-in-south-columbus-oakwood-avenue
1301701667,20260430,202604,2026,2026.3288,COP,DEPUTIES,,,,,,COP,,,,,,,,,,,,,0,084,084,08,2,7.0,3,1,3,-7.32673267326732,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,0,,,,,,,,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20260430013000,https://www.knoe.com/2026/04/29/outgoing-orleans-parish-sheriff-susan-hutson-aide-indicted-malfeasance-obstruction-charges/
1301701668,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,090,090,09,2,-2.0,5,1,5,-7.08215297450425,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,0,,,,,,,,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,20260430013000,https://www.muswellbrookchronicle.com.au/story/9236353/quite-concerning-fears-grow-for-taken-girls-safety/
1301701669,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,090,090,09,2,-2.0,5,1,5,-1.47783251231527,3,"Warwick Police Department, Rhode Island, United States",US,USRI,RI003,41.703,-71.4584,2475485,0,,,,,,,,3,"Warwick Police Department, Rhode Island, United States",US,USRI,,41.703,-71.4584,2475485,20260430013000,https://www.fox7austin.com/news/person-dressed-like-kkk-member-takes-stroll-through-rhode-island-town
1301701670,20260430,202604,2026,2026.3288,COP,DETECTIVE,,,,,,COP,,,,,,,,,,,,,1,112,112,11,3,-2.0,2,1,2,-12.037037037037,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,0,,,,,,,,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,20260430013000,https://www.wtvm.com/2026/04/29/lagrange-man-arrested-child-sexual-exploitation-charges/
1301701671,20260430,202604,2026,2026.3288,COP,POLICE CAPTAIN,,,,,,COP,,,,,,,,,,,,,1,115,115,11,3,-2.0,2,1,2,-4.6448087431694,3,"Jackson County, Kansas, United States",US,USKS,KS085,39.4,-95.8336,485007,0,,,,,,,,3,"Jackson County, Kansas, United States",US,USKS,,39.4,-95.8336,485007,20260430013000,https://www.kshb.com/news/crime/independence-police-captain-files-civil-lawsuit-against-city-claims-older-employees-faced-discrimination
1301701672,20260430,202604,2026,2026.3288,COP,POLICE CAPTAIN,,,,,,COP,,,,,,,,,,,,,1,115,115,11,3,-2.0,8,1,8,-4.6448087431694,3,"City Of Independence, Kansas, United States",US,USKS,KS125,37.2315,-95.7141,485598,0,,,,,,,,3,"City Of Independence, Kansas, United States",US,USKS,,37.2315,-95.7141,485598,20260430013000,https://www.kshb.com/news/crime/independence-police-captain-files-civil-lawsuit-against-city-claims-older-employees-faced-discrimination
1301701673,20260430,202604,2026,2026.3288,COP,DEPUTIES,,,,,,COP,,,,,,,,,,,,,1,120,120,12,3,-4.0,2,1,2,-0.65359477124183,3,"Hall County, Georgia, United States",US,USGA,GA139,34.3168,-83.7832,1686953,0,,,,,,,,3,"Hall County, Georgia, United States",US,USGA,,34.3168,-83.7832,1686953,20260430013000,https://www.wsbradio.com/news/local/north-georgia-sheriffs-office-buys-boats-with-seized-funds-lake-lanier-patrols/ACH5P2IJ7FFADOP27NIPUHKL64/
1301701674,20260430,202604,2026,2026.3288,COP,DEPUTIES,,,,,,COP,,,,,,,,,,,,,1,120,120,12,3,-4.0,8,1,8,-0.65359477124183,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,0,,,,,,,,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,20260430013000,https://www.wsbradio.com/news/local/north-georgia-sheriffs-office-buys-boats-with-seized-funds-lake-lanier-patrols/ACH5P2IJ7FFADOP27NIPUHKL64/
1301701675,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,1711,171,17,4,-9.2,2,1,2,-6.72645739910314,4,"Norman Manley International Airport, Kingston-Saint John, Jamaica",JM,JM17,18425,17.9362,-76.789,-3753029,0,,,,,,,,4,"Norman Manley International Airport, Kingston-Saint John, Jamaica",JM,JM17,18425,17.9362,-76.789,-3753029,20260430013000,https://www.jamaicaobserver.com/2026/04/29/two-charged-following-seizure-30m-illicit-drugs-assets/
1301701676,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,1711,171,17,4,-9.2,3,1,3,-6.72645739910314,1,Dominican Republic,DR,DR,,19,-70.666667,DR,0,,,,,,,,1,Dominican Republic,DR,DR,,19,-70.666667,DR,20260430013000,https://www.jamaicaobserver.com/2026/04/29/two-charged-following-seizure-30m-illicit-drugs-assets/
1301701677,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,0,173,173,17,4,-5.0,3,1,3,-7.08215297450425,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,0,,,,,,,,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,20260430013000,https://www.muswellbrookchronicle.com.au/story/9236353/quite-concerning-fears-grow-for-taken-girls-safety/
1301701678,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,0,173,173,17,4,-5.0,10,1,10,-6.15384615384615,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,0,,,,,,,,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20260430013000,https://forcechange.com/668367/stop-gaslighting-america-about-deadly-january-6-insurrection/
1301701679,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-11.9266055045872,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,0,,,,,,,,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,20260430013000,https://www.wsbradio.com/news/local/man-accused-running-drug-weapons-operation-georgia-jail-sentenced-prison/ZHX46GHFEBHK5KIVDLG2YG55SA/
1301701680,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,0,173,173,17,4,-5.0,6,1,6,-8.44155844155845,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,0,,,,,,,,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,20260430013000,https://www.wlky.com/article/attorneys-for-man-convicted-in-delphi-murders-file-new-brief/71157324
1301701681,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,0,173,173,17,4,-5.0,2,1,2,-6.53386454183267,1,Iran,IR,IR,,32,53,IR,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260430013000,https://www.dailymail.com/news/article-15777411/Keir-Starmer-Jew-harmer-PM-condemnation-Israel-antisemitism-UK.html
1301701682,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,8,1,8,-11.9266055045872,1,Mexico,MX,MX,,23,-102,MX,0,,,,,,,,1,Mexico,MX,MX,,23,-102,MX,20260430013000,https://www.wsbradio.com/news/local/man-accused-running-drug-weapons-operation-georgia-jail-sentenced-prison/ZHX46GHFEBHK5KIVDLG2YG55SA/
1301701683,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,0,173,173,17,4,-5.0,10,1,10,-2.22575516693164,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,0,,,,,,,,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260430013000,https://myfox28columbus.com/news/local/dhs-confirms-voter-fraud-investigation-requesting-dozens-of-franklin-county-voters-info
1301701684,20260430,202604,2026,2026.3288,COP,PRISON,,,,,,COP,,,,,,,,,,,,,0,180,180,18,4,-9.0,3,1,3,-7.08215297450425,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,0,,,,,,,,4,"Muswellbrook, New South Wales, Australia",AS,AS02,5096,-32.2612,150.89,-1590404,20260430013000,https://www.muswellbrookchronicle.com.au/story/9236353/quite-concerning-fears-grow-for-taken-girls-safety/
1301701685,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,181,181,18,4,-9.0,10,1,10,-3.55555555555556,4,"Alice Springs, Northern Territory, Australia",AS,AS03,5120,-23.6975,133.884,-1555489,0,,,,,,,,4,"Alice Springs, Northern Territory, Australia",AS,AS03,5120,-23.6975,133.884,-1555489,20260430013000,https://www.dailymail.com/news/article-15777581/sharon-granites-missing-alice-springs-police-fears-abduction-group.html
1301701686,20260430,202604,2026,2026.3288,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,190,190,19,4,-10.0,20,2,20,-9.1843646593569,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"Golders Green, Barnet, United Kingdom",UK,UKA2,40110,51.5667,-0.216667,-2597271,20260430013000,https://www.wsbradio.com/news/world/uk-prime-minister/4K5PJGXDUU6OBDB7RFZK42KOP4/
1301701687,20260430,202604,2026,2026.3288,COP,CONSTABLE,,,,,,COP,,,,,,,,,,,,,0,193,193,19,4,-10.0,6,1,6,-8.53658536585363,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,0,,,,,,,,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
1301701688,20260430,202604,2026,2026.3288,COP,DETECTIVE,,,,,,COP,,,AUS,AUSTRALIA,AUS,,,,,,,,0,040,040,04,1,1.0,4,1,4,-8.53658536585363,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260430013000,https://www.dailymail.com/news/article-15774617/beau-lamarre-condon-mother-arrest-pervert-justice-murder-trial.html
