GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1308294972,20250610,202506,2025,2025.4384,,,,,,,,,,,MNCUSAHLHBUS,WALGREEN,USA,,,,,MNC,HLH,BUS,1,040,040,04,1,1.0,5,1,5,0.75187969924812,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260610020000,https://www.smh.com.au/business/companies/chemist-warehouse-owner-eyes-14-billion-deal-for-uk-giant-20260610-p605fx.html
1308294973,20250610,202506,2025,2025.4384,BUS,BANK,,,,,,BUS,,,,,,,,,,,,,0,112,112,11,3,-2.0,5,1,5,-3.13131313131313,2,"Maryland, United States",US,USMD,,39.0724,-76.7902,MD,0,,,,,,,,2,"Maryland, United States",US,USMD,,39.0724,-76.7902,MD,20260610020000,https://krmg.com/2026/06/09/house-is-set-to-fund-trumps-immigration-actions-for-the-rest-of-his-time-in-the-white-house-2/
1308294974,20250610,202506,2025,2025.4384,CAN,SASKATCHEWAN,CAN,,,,,,,,IGOEUREEC,THE EUROPEAN UNION,EUR,EEC,,,,IGO,,,1,061,061,06,2,6.4,10,1,10,1.70940170940171,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,20260610020000,https://www.98cool.ca/2026/06/09/premier-leads-saskatchewan-trade-mission-to-the-european-union/
1308294975,20250610,202506,2025,2025.4384,MNCUSAHLHBUS,WALGREEN,USA,,,,,MNC,HLH,BUS,,,,,,,,,,,1,040,040,04,1,1.0,5,1,5,0.75187969924812,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260610020000,https://www.smh.com.au/business/companies/chemist-warehouse-owner-eyes-14-billion-deal-for-uk-giant-20260610-p605fx.html
1308294976,20250610,202506,2025,2025.4384,MNCUSAHLHBUS,WALGREEN,USA,,,,,MNC,HLH,BUS,,,,,,,,,,,1,192,192,19,4,-9.5,5,1,5,0.75187969924812,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260610020000,https://www.smh.com.au/business/companies/chemist-warehouse-owner-eyes-14-billion-deal-for-uk-giant-20260610-p605fx.html
1308294977,20250610,202506,2025,2025.4384,TWN,TAIWAN,TWN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,061,061,06,2,6.4,2,1,2,-4.43307757885763,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,13277,25.0478,121.532,-2637882,1,South Africa,SF,SF,,-30,26,SF,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,13277,25.0478,121.532,-2637882,20260610020000,https://www.businesstimes.com.sg/international/taiwan-eyes-curbs-ai-chip-sales-china-align-us
1308294978,20250610,202506,2025,2025.4384,TWN,TAIWAN,TWN,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,061,061,06,2,6.4,8,1,8,-4.43307757885763,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,13277,25.0478,121.532,-2637882,1,South Africa,SF,SF,,-30,26,SF,1,South Africa,SF,SF,,-30,26,SF,20260610020000,https://www.businesstimes.com.sg/international/taiwan-eyes-curbs-ai-chip-sales-china-align-us
1308294979,20260511,202605,2026,2026.3589,FRA,FRANCE,FRA,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,0,172,172,17,4,-5.0,2,1,2,-6.74603174603174,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,20260610020000,https://forward.com/fast-forward/830555/france-bans-smotrich-as-6-countries-impose-new-sanctions-over-israeli-settler-violence/
1308294980,20260603,202606,2026,2026.4192,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,042,042,04,1,1.9,10,1,10,1.01910828025477,0,,,,,,,,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260610020000,https://www.eurasiareview.com/10062026-xis-calculated-return-to-north-korea-analysis/
1308294981,20260603,202606,2026,2026.4192,,,,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,020,020,02,1,3.0,1,1,1,1.01465614430665,0,,,,,,,,3,"Ross Valley, California, United States",US,USCA,,37.9488,-122.545,231914,3,"Ross Valley, California, United States",US,USCA,,37.9488,-122.545,231914,20260610020000,https://www.marinij.com/2026/06/09/marin-election-update-brings-mixed-news-for-schools/
