GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1324182248,20250922,202509,2025,2025.7178,CVL,VOTER,,,,,,CVL,,,PTY,DEMOCRATIC PARTY,,,,,,,,,0,120,120,12,3,-4.0,5,1,5,-1.93637621023514,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20260922014500,https://www.breitbart.com/politics/2026/09/20/germanys-afd-projected-to-win-second-state-election-this-month-chancellor-merz-refuses-to-resign-after-defeat/
1324182249,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,PSE,GAZA,PSE,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-4.17827298050139,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182250,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,0356,035,03,1,7.0,2,1,2,-4.17827298050139,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182251,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,0356,035,03,1,7.0,2,1,2,-4.17827298050139,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,1,United States,US,US,,39.828175,-98.5795,US,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182252,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,0356,035,03,1,7.0,6,1,6,-4.17827298050139,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,1,United States,US,US,,39.828175,-98.5795,US,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182253,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,045,045,04,1,5.0,2,1,2,-4.17827298050139,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182254,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,045,045,04,1,5.0,2,1,2,-4.17827298050139,4,"Bureij, Yerushalayim, Israel",IS,IS06,18315,31.7333,34.9333,-779522,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182255,20250922,202509,2025,2025.7178,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,045,045,04,1,5.0,6,1,6,-4.17827298050139,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20260922014500,https://english.aawsat.com/arab-world/5321022-gaza-health-officials-say-israeli-fire-kills-three-including-child
1324182256,20250922,202509,2025,2025.7178,USA,DELAWARE,USA,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,7,1,7,-4.13793103448276,2,"Delaware, United States",US,USDE,,39.3498,-75.5148,DE,0,,,,,,,,2,"Delaware, United States",US,USDE,,39.3498,-75.5148,DE,20260922014500,https://www.wmdt.com/2026/09/september-2026-recognized-as-veterans-suicide-prevention-month/
1324182257,20250922,202509,2025,2025.7178,USAMED,REUTERS,USA,,,,,MED,,,LEG,CONGRESS,,,,,,LEG,,,1,020,020,02,1,3.0,2,1,2,-7.07964601769911,3,"Newark, New Jersey, United States",US,USNJ,NJ013,40.7357,-74.1724,878762,3,"Newark, New Jersey, United States",US,USNJ,NJ013,40.7357,-74.1724,878762,3,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,20260922014500,https://economictimes.indiatimes.com/news/international/us/hundreds-of-flights-canceled-across-major-us-airports-after-cable-cut-by-construction-workers-check-list-of-airports-affected/articleshow/134400014.cms
