GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1321208140,20250903,202509,2025,2025.6658,,,,,,,,,,,AUS,AUSTRALIA,AUS,,,,,,,,1,043,043,04,1,2.8,4,1,4,0.38240917782027,0,,,,,,,,4,"Bowral, New South Wales, Australia",AS,AS02,5111,-34.4775,150.42,-1561181,4,"Bowral, New South Wales, Australia",AS,AS02,5111,-34.4775,150.42,-1561181,20260903013000,https://www.southernhighlandnews.com.au/story/9342858/sujan-malla-bowral-cafes-raise-2510-for-nepal-flood-relief-efforts/
1321208141,20250903,202509,2025,2025.6658,AUS,AUSTRALIA,AUS,,,,,,,,,,,,,,,,,,1,042,042,04,1,1.9,4,1,4,0.38240917782027,4,"Bowral, New South Wales, Australia",AS,AS02,5111,-34.4775,150.42,-1561181,0,,,,,,,,4,"Bowral, New South Wales, Australia",AS,AS02,5111,-34.4775,150.42,-1561181,20260903013000,https://www.southernhighlandnews.com.au/story/9342858/sujan-malla-bowral-cafes-raise-2510-for-nepal-flood-relief-efforts/
1321208142,20260804,202608,2026,2026.5863,FRANCLGOV,NEW CALEDONIA,FRA,,,,,GOV,,,BUS,BUSINESS,,,,,,BUS,,,0,013,013,01,1,0.4,4,1,4,-3.00200133422281,4,"Noumea, New Caledonia (general), New Caledonia",NC,NC00,22378,-22.2667,166.45,-1713609,4,"Noumea, New Caledonia (general), New Caledonia",NC,NC00,22378,-22.2667,166.45,-1713609,4,"Noumea, New Caledonia (general), New Caledonia",NC,NC00,22378,-22.2667,166.45,-1713609,20260903013000,https://pina.com.fj/2026/09/03/vanuatu-takes-matthew-and-hunter-dispute-to-icj/
1321208143,20260804,202608,2026,2026.5863,FRANCLGOV,NEW CALEDONIA,FRA,,,,,GOV,,,BUS,BUSINESS,,,,,,BUS,,,0,013,013,01,1,0.4,1,1,1,-3.00200133422281,4,"Keamu, Tafea, Vanuatu",NH,NH15,40197,-20.2,169.817,-2136550,4,"Noumea, New Caledonia (general), New Caledonia",NC,NC00,22378,-22.2667,166.45,-1713609,4,"Keamu, Tafea, Vanuatu",NH,NH15,40197,-20.2,169.817,-2136550,20260903013000,https://pina.com.fj/2026/09/03/vanuatu-takes-matthew-and-hunter-dispute-to-icj/
1321208144,20260827,202608,2026,2026.6493,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,036,036,03,1,4.0,6,1,6,0,0,,,,,,,,3,"Cedar Rapids, Iowa, United States",US,USIA,,42.0083,-91.6441,465941,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20260903013000,https://www.kcrg.com/2026/09/02/cedar-crossing-casino-hosting-hiring-event/
1321208145,20260827,202608,2026,2026.6493,RUS,RUSSIA,RUS,,,,,,,,IGOWSTNAT,NATO,WST,NAT,,,,IGO,,,0,138,138,13,3,-7.0,1,1,1,-2.4526198439242,1,Germany,GM,GM,,51.5,10.5,GM,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260903013000,https://www.dailymail.com/news/article-16100689/Kemi-vows-slash-benefits-boost-defence-pressure-Burnham.html
1321208146,20260827,202608,2026,2026.6493,USA,IOWA,USA,,,,,,,,,,,,,,,,,,1,036,036,03,1,4.0,8,1,8,0,3,"Cedar Rapids, Iowa, United States",US,USIA,IA113,42.0083,-91.6441,465941,0,,,,,,,,3,"Cedar Rapids, Iowa, United States",US,USIA,,42.0083,-91.6441,465941,20260903013000,https://www.kcrg.com/2026/09/02/cedar-crossing-casino-hosting-hiring-event/
1321208147,20260827,202608,2026,2026.6493,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,036,036,03,1,4.0,2,1,2,0,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,0,,,,,,,,3,"Cedar Rapids, Iowa, United States",US,USIA,,42.0083,-91.6441,465941,20260903013000,https://www.kcrg.com/2026/09/02/cedar-crossing-casino-hosting-hiring-event/
1321208148,20260827,202608,2026,2026.6493,USA,UNITED STATES,USA,,,,,,,,COP,PRISON,,,,,,COP,,,1,173,173,17,4,-5.0,6,1,6,-17.6470588235294,3,"Lee County, Mississippi, United States",US,USMS,MS081,34.2645,-88.707,695764,3,"Lee County, Mississippi, United States",US,USMS,,34.2645,-88.707,695764,3,"Lee County, Mississippi, United States",US,USMS,,34.2645,-88.707,695764,20260903013000,https://www.yahoo.com/news/us/articles/three-plead-guilty-felony-drug-010300272.html
1321208149,20260827,202608,2026,2026.6493,USA,UNITED STATES,USA,,,,,,,,JUD,JUDGE,,,,,,JUD,,,0,013,013,01,1,0.4,4,1,4,-6.0377358490566,3,"Manhattan, New York, United States",US,USNY,NY061,40.7834,-73.9662,971945,3,"Manhattan, New York, United States",US,USNY,NY061,40.7834,-73.9662,971945,3,"Manhattan, New York, United States",US,USNY,NY061,40.7834,-73.9662,971945,20260903013000,https://us.cnn.com/2026/09/02/politics/luigi-mangione-plea-discussions-revealed
