GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1296318436,20250327,202503,2025,2025.2384,CHN,CHINESE,CHN,,,,,,,,,,,,,,,,,,1,111,111,11,3,-2.0,10,1,10,0.86767895878525,4,"Laopu, Guangxi, China",CH,CH16,13070,25.6333,109.483,-1914147,0,,,,,,,,4,"Laopu, Guangxi, China",CH,CH16,13070,25.6333,109.483,-1914147,20260327030000,https://www.businesstimes.com.sg/companies-markets/consumer-healthcare/chinese-fast-fashion-brand-take-over-mega-hong-kong-hm-store
1296318437,20250327,202503,2025,2025.2384,LEG,SENATE PRESIDENT,,,,,,LEG,,,,,,,,,,,,,0,190,190,19,4,-10.0,6,1,6,1.3215859030837,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,0,,,,,,,,2,"California, United States",US,USCA,,36.17,-119.746,CA,20260327030000,https://www.manilatimes.net/2026/03/27/world/americas-emea/california-renames-cesar-chavez-day-following-sexual-abuse-allegations/2308952
1296318438,20250327,202503,2025,2025.2384,LEG,SENATE PRESIDENT,,,,,,LEG,,,PHL,PHILIPPINE,PHL,,,,,,,,0,051,051,05,1,3.4,2,1,2,1.3215859030837,3,"El Paso, Texas, United States",US,USTX,TX141,31.7587,-106.487,1380946,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20260327030000,https://www.manilatimes.net/2026/03/27/world/americas-emea/california-renames-cesar-chavez-day-following-sexual-abuse-allegations/2308952
1296318439,20250327,202503,2025,2025.2384,LEG,SENATE PRESIDENT,,,,,,LEG,,,PHL,PHILIPPINE,PHL,,,,,,,,0,051,051,05,1,3.4,2,1,2,1.3215859030837,3,"Mesa County, Colorado, United States",US,USCO,CO077,39.0333,-108.467,198154,3,"El Paso, Texas, United States",US,USTX,,31.7587,-106.487,1380946,3,"El Paso, Texas, United States",US,USTX,,31.7587,-106.487,1380946,20260327030000,https://www.manilatimes.net/2026/03/27/world/americas-emea/california-renames-cesar-chavez-day-following-sexual-abuse-allegations/2308952
1296318440,20250327,202503,2025,2025.2384,LEG,SENATE PRESIDENT,,,,,,LEG,,,PHL,PHILIPPINE,PHL,,,,,,,,0,190,190,19,4,-10.0,4,1,4,1.3215859030837,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,4,"Manila, Manila, Philippines",RP,RPD9,24210,14.6042,120.982,-2437894,20260327030000,https://www.manilatimes.net/2026/03/27/world/americas-emea/california-renames-cesar-chavez-day-following-sexual-abuse-allegations/2308952
1296318441,20260225,202602,2026,2026.1507,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-6.97674418604651,2,"California, United States",US,USCA,,36.17,-119.746,CA,0,,,,,,,,3,"Los Angeles, California, United States",US,USCA,,34.0522,-118.244,1662328,20260327030000,https://nypost.com/2026/03/26/us-news/lausd-staffer-charged-in-massive-22m-money-laundering-scheme/
1296318442,20260320,202603,2026,2026.2192,CUB,HAVANA,CUB,,,,,,,,MEX,MEXICO,MEX,,,,,,,,1,043,043,04,1,2.8,3,1,3,1.48698884758365,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,4,"Quintana Roo, YucatáMX, Mexico",MX,MX31,21335,20.8667,-88.6333,-1690731,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,20260327030000,https://www.thehindu.com/news/international/two-mexican-humanitarian-aid-boats-en-route-to-cuba-missing/article70790969.ece
1296318443,20260320,202603,2026,2026.2192,JEWCVL,JEWISH,,,,JEW,,CVL,,,,,,,,,,,,,0,013,013,01,1,0.4,10,1,10,2.56410256410256,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260327030000,https://www.kbzk.com/news/local-news/rabbi-chaim-bruk-and-the-bozeman-jewish-community-donate-gift-cards-pizza-and-fries-to-tsa-agents
1296318444,20260320,202603,2026,2026.2192,JEWCVL,JEWISH,,,,JEW,,CVL,,,,,,,,,,,,,0,070,070,07,2,7.0,10,1,10,2.56410256410256,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260327030000,https://www.kbzk.com/news/local-news/rabbi-chaim-bruk-and-the-bozeman-jewish-community-donate-gift-cards-pizza-and-fries-to-tsa-agents
1296318445,20260320,202603,2026,2026.2192,MEX,MEXICO,MEX,,,,,,,,CUB,HAVANA,CUB,,,,,,,,1,042,042,04,1,1.9,3,1,3,1.48698884758365,4,"Quintana Roo, YucatáMX, Mexico",MX,MX31,21335,20.8667,-88.6333,-1690731,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,20260327030000,https://www.thehindu.com/news/international/two-mexican-humanitarian-aid-boats-en-route-to-cuba-missing/article70790969.ece
