GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1300549154,20250423,202504,2025,2025.3096,,,,,,,,,,,AUS,VICTORIA,AUS,,,,,,,,0,057,057,05,1,8.0,5,1,5,-1.5625,0,,,,,,,,1,Canada,CA,CA,,60,-96,CA,1,Canada,CA,CA,,60,-96,CA,20260423000000,https://www.miragenews.com/high-court-can-hear-aboriginal-sovereignty-cases-1660447/
1300549155,20250423,202504,2025,2025.3096,,,,,,,,,,,BGR,BULGARIA,BGR,,,,,,,,1,061,061,06,2,6.4,10,1,10,-1.5850144092219,0,,,,,,,,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,20260423000000,https://www.ijpr.org/npr-news/2026-04-22/the-tariff-refund-process-has-begun-for-businesses-what-about-customers
1300549156,20250423,202504,2025,2025.3096,,,,,,,,,,,COP,PRISON,,,,,,COP,,,0,042,042,04,1,1.9,3,1,3,-5.78871201157742,0,,,,,,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260423000000,https://www.whmi.com/news/fox/idaho-murders-new-book-kohberger-reveals-previously-unseen-evidence-claims-sheath-could-be-inadmissible
1300549157,20250423,202504,2025,2025.3096,,,,,,,,,,,GBR,WELSH,GBR,,,,,,,,1,042,042,04,1,1.9,3,1,3,-0.82644628099174,0,,,,,,,,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260423000000,https://www.wellandtribune.ca/thestar/politics/political-opinion/longevity-only-goes-so-far-if-you-come-up-short-financially/article_d650a604-f8e7-5b6b-9cfe-7236b1400a7f.html
1300549158,20250423,202504,2025,2025.3096,,,,,,,,,,,NAM,NAMIBIA,NAM,,,,,,,,0,190,190,19,4,-10.0,4,1,4,-7.67386091127098,0,,,,,,,,4,"Ondangwa, Oshana, Namibia",WA,WA37,22326,-17.9167,15.95,-2585186,4,"Ondangwa, Oshana, Namibia",WA,WA37,22326,-17.9167,15.95,-2585186,20260423000000,https://www.namibian.com.na/accused-in-prosecutor-murder-case-poses-flight-risk-state-claims/
1300549159,20250423,202504,2025,2025.3096,AUS,VICTORIA,AUS,,,,,,,,,,,,,,,,,,0,057,057,05,1,8.0,5,1,5,-1.5625,1,Canada,CA,CA,,60,-96,CA,0,,,,,,,,1,Canada,CA,CA,,60,-96,CA,20260423000000,https://www.miragenews.com/high-court-can-hear-aboriginal-sovereignty-cases-1660447/
1300549160,20250423,202504,2025,2025.3096,AUS,AUSTRALIA,AUS,,,,,,,,,,,,,,,,,,0,090,090,09,2,-2.0,4,1,4,-0.37119524870081,3,"Carnegie Hall, New York, United States",US,USNY,NY061,40.7651,-73.9799,945868,0,,,,,,,,3,"Carnegie Hall, New York, United States",US,USNY,,40.7651,-73.9799,945868,20260423000000,https://www.mbcradio.com/2026/04/tlaamin-choreographer-sets-the-dance-stage-ablaze-with-wildfire-themed-ballet
1300549161,20250423,202504,2025,2025.3096,BUS,COMPANY,,,,,,BUS,,,USAMED,THE ASSOCIATED PRESS,USA,,,,,MED,,,1,010,010,01,1,0.0,5,1,5,2.20264317180617,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20260423000000,https://www.wellandtribune.ca/entertainment/gov-tim-walz-to-release-good-neighbors-inspired-by-ice-surge-in-minnesota-and-the-pushback/article_e70d6c04-a52e-51c2-9b95-b2d25beec5f0.html
1300549162,20250423,202504,2025,2025.3096,CAN,CANADA,CAN,,,,,,,,GBR,WELSH,GBR,,,,,,,,1,042,042,04,1,1.9,2,1,2,-0.82644628099174,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20260423000000,https://www.wellandtribune.ca/thestar/politics/political-opinion/longevity-only-goes-so-far-if-you-come-up-short-financially/article_d650a604-f8e7-5b6b-9cfe-7236b1400a7f.html
1300549163,20250423,202504,2025,2025.3096,CHL,CHILE,CHL,,,,,,,,,,,,,,,,,,1,015,015,01,1,0.0,2,1,2,-10.7558139534884,1,Chile,CI,CI,,-30,-71,CI,0,,,,,,,,1,Chile,CI,CI,,-30,-71,CI,20260423000000,https://www.breitbart.com/politics/2026/04/22/illegal-alien-sentenced-3-years-in-prison-for-stealing-kristi-noems-purse/
