GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1304962987,20250520,202505,2025,2025.3836,BUS,BANK,,,,,,BUS,,,GRC,GREECE,GRC,,,,,,,,0,043,043,04,1,2.8,4,1,4,0.63211125158028,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,20260520041500,https://flagpole.com/news/news-features/2026/05/19/athens-area-humane-society-expands-full-bellies-food-bowl-program/
1304962988,20250520,202505,2025,2025.3836,BUS,BANK,,,,,,BUS,,,USA,UNITED STATES,USA,,,,,,,,0,043,043,04,1,2.8,4,1,4,0.63211125158028,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,20260520041500,https://flagpole.com/news/news-features/2026/05/19/athens-area-humane-society-expands-full-bellies-food-bowl-program/
1304962989,20250520,202505,2025,2025.3836,GRC,GREECE,GRC,,,,,,,,BUS,BANK,,,,,,BUS,,,0,042,042,04,1,1.9,2,1,2,0.63211125158028,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,20260520041500,https://flagpole.com/news/news-features/2026/05/19/athens-area-humane-society-expands-full-bellies-food-bowl-program/
1304962990,20250520,202505,2025,2025.3836,GRC,GREECE,GRC,,,,,,,,BUS,BANK,,,,,,BUS,,,0,042,042,04,1,1.9,2,1,2,0.63211125158028,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,2,"Georgia, United States",US,USGA,,32.9866,-83.6487,GA,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,20260520041500,https://flagpole.com/news/news-features/2026/05/19/athens-area-humane-society-expands-full-bellies-food-bowl-program/
1304962991,20250520,202505,2025,2025.3836,USA,UNITED STATES,USA,,,,,,,,BUS,BANK,,,,,,BUS,,,0,042,042,04,1,1.9,4,1,4,0.63211125158028,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,20260520041500,https://flagpole.com/news/news-features/2026/05/19/athens-area-humane-society-expands-full-bellies-food-bowl-program/
1304962992,20260420,202604,2026,2026.3014,AUS,AUSTRALIA,AUS,,,,,,,,GOV,REGIME,,,,,,GOV,,,0,130,130,13,3,-4.4,2,1,2,-2.0703933747412,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,1,Norway,NO,NO,,62,10,NO,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20260520041500,https://www.theage.com.au/politics/federal/pauline-hanson-to-demand-norway-style-gas-and-oil-overhaul-20260520-p5zywu.html
1304962993,20260420,202604,2026,2026.3014,AUS,AUSTRALIA,AUS,,,,,,,,GOV,REGIME,,,,,,GOV,,,0,130,130,13,3,-4.4,2,1,2,-2.0703933747412,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,1,Norway,NO,NO,,62,10,NO,1,Norway,NO,NO,,62,10,NO,20260520041500,https://www.theage.com.au/politics/federal/pauline-hanson-to-demand-norway-style-gas-and-oil-overhaul-20260520-p5zywu.html
1304962994,20260420,202604,2026,2026.3014,GOV,MINIST,,,,,,GOV,,,,,,,,,,,,,1,012,012,01,1,-0.4,6,1,6,-0.85227272727273,1,New Zealand,NZ,NZ,,-42,174,NZ,0,,,,,,,,1,New Zealand,NZ,NZ,,-42,174,NZ,20260520041500,https://www.rnz.co.nz/news/political/595793/government-cuts-some-vehicle-regulations-with-more-possible
1304962995,20260420,202604,2026,2026.3014,GOV,MINIST,,,,,,GOV,,,NZL,NEW ZEALAND,NZL,,,,,,,,1,012,012,01,1,-0.4,2,1,2,-0.85227272727273,1,New Zealand,NZ,NZ,,-42,174,NZ,1,New Zealand,NZ,NZ,,-42,174,NZ,1,New Zealand,NZ,NZ,,-42,174,NZ,20260520041500,https://www.rnz.co.nz/news/political/595793/government-cuts-some-vehicle-regulations-with-more-possible
1304962996,20260420,202604,2026,2026.3014,IGOBUSIMF,INTERNATIONAL MONETARY FUND,,IMF,,,,IGO,BUS,,,,,,,,,,,,1,138,138,13,3,-7.0,10,1,10,-2.59740259740259,4,"Kitengela, Kenya (general), Kenya",KE,KE00,18585,-1.45,36.9667,-2251605,0,,,,,,,,4,"Kitengela, Kenya (general), Kenya",KE,KE00,18585,-1.45,36.9667,-2251605,20260520041500,https://www.standardmedia.co.ke/national/article/2001548216/imf-saw-it-coming-how-global-lender-predicted-kenyas-fuel-protests
