GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1303582274,20250512,202505,2025,2025.3616,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,010,010,01,1,0.0,3,1,3,-4.10396716826265,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260512001500,https://www.spacewar.com/afp/260511192922.dqxra6eo.html
1303582275,20250512,202505,2025,2025.3616,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,010,010,01,1,0.0,1,1,1,-4.10396716826265,3,"American University, District of Columbia, United States",US,USDC,DC001,38.9375,-77.0869,531560,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,3,"American University, District of Columbia, United States",US,USDC,,38.9375,-77.0869,531560,20260512001500,https://www.spacewar.com/afp/260511192922.dqxra6eo.html
1303582276,20250512,202505,2025,2025.3616,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,010,010,01,1,0.0,1,1,1,-4.10396716826265,3,"American University, District of Columbia, United States",US,USDC,DC001,38.9375,-77.0869,531560,3,"American University, District of Columbia, United States",US,USDC,,38.9375,-77.0869,531560,3,"American University, District of Columbia, United States",US,USDC,,38.9375,-77.0869,531560,20260512001500,https://www.spacewar.com/afp/260511192922.dqxra6eo.html
1303582277,20250512,202505,2025,2025.3616,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,010,010,01,1,0.0,4,1,4,-4.10396716826265,1,China,CH,CH,,35,105,CH,3,"American University, District of Columbia, United States",US,USDC,,38.9375,-77.0869,531560,1,China,CH,CH,,35,105,CH,20260512001500,https://www.spacewar.com/afp/260511192922.dqxra6eo.html
1303582278,20250512,202505,2025,2025.3616,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,010,010,01,1,0.0,1,1,1,-4.10396716826265,1,Venezuela,VE,VE,,8,-66,VE,1,Venezuela,VE,VE,,8,-66,VE,1,Venezuela,VE,VE,,8,-66,VE,20260512001500,https://www.spacewar.com/afp/260511192922.dqxra6eo.html
1303582279,20250512,202505,2025,2025.3616,CUB,CUBA,CUB,,,,,,,,CVL,CITIZEN,,,,,,CVL,,,1,043,043,04,1,2.8,5,1,5,-4.11311053984576,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,4,"Havana, Ciudad de La Habana, Cuba",CU,CU02,14613,23.1319,-82.3642,-1628751,20260512001500,https://eturbonews.com/us-tourism-to-cuba-doubles-after-trumps-full-and-complete-embargo-threats/
1303582280,20250512,202505,2025,2025.3616,CVL,CITIZEN,,,,,,CVL,,,CUB,CUBA,CUB,,,,,,,,1,010,010,01,1,0.0,2,1,2,-4.11311053984576,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,31959,10.5,-66.9167,-938457,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,31959,10.5,-66.9167,-938457,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260512001500,https://eturbonews.com/us-tourism-to-cuba-doubles-after-trumps-full-and-complete-embargo-threats/
1303582281,20250512,202505,2025,2025.3616,CVL,CITIZEN,,,,,,CVL,,,CUB,CUBA,CUB,,,,,,,,1,010,010,01,1,0.0,3,1,3,-4.11311053984576,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260512001500,https://eturbonews.com/us-tourism-to-cuba-doubles-after-trumps-full-and-complete-embargo-threats/
1303582282,20250512,202505,2025,2025.3616,CVL,CITIZEN,,,,,,CVL,,,CUB,CUBA,CUB,,,,,,,,1,042,042,04,1,1.9,2,1,2,-4.11311053984576,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,31959,10.5,-66.9167,-938457,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,31959,10.5,-66.9167,-938457,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,31959,10.5,-66.9167,-938457,20260512001500,https://eturbonews.com/us-tourism-to-cuba-doubles-after-trumps-full-and-complete-embargo-threats/
1303582283,20250512,202505,2025,2025.3616,CVL,CITIZEN,,,,,,CVL,,,CUB,CUBA,CUB,,,,,,,,1,042,042,04,1,1.9,3,1,3,-4.11311053984576,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260512001500,https://eturbonews.com/us-tourism-to-cuba-doubles-after-trumps-full-and-complete-embargo-threats/
