GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1324965420,20250926,202509,2025,2025.7288,COP,PRISON,,,,,,COP,,,BUS,LANDLORD,,,,,,BUS,,,1,190,190,19,4,-10.0,10,1,10,-5.17006802721088,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260926001500,https://www.heraldnet.com/2026/09/25/everett-man-gets-36-year-sentence-in-murder-of-landlord/
1324965421,20250926,202509,2025,2025.7288,EDU,ECONOMIST,,,,,,EDU,,,LKA,SRI LANKAN,LKA,,,,,,,,1,046,046,04,1,7.0,2,1,2,7.26256983240224,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,20260926001500,"https://home.nzcity.co.nz/news/article.aspx?id=454726&fm=psp,tst"
1324965422,20250926,202509,2025,2025.7288,EDU,ECONOMIST,,,,,,EDU,,,LKA,SRI LANKAN,LKA,,,,,,,,1,046,046,04,1,7.0,5,1,5,7.26256983240224,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260926001500,"https://home.nzcity.co.nz/news/article.aspx?id=454726&fm=psp,tst"
1324965423,20250926,202509,2025,2025.7288,LKA,SRI LANKAN,LKA,,,,,,,,EDU,ECONOMIST,,,,,,EDU,,,1,046,046,04,1,7.0,2,1,2,7.26256983240224,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,20260926001500,"https://home.nzcity.co.nz/news/article.aspx?id=454726&fm=psp,tst"
1324965424,20250926,202509,2025,2025.7288,LKA,SRI LANKAN,LKA,,,,,,,,EDU,ECONOMIST,,,,,,EDU,,,1,046,046,04,1,7.0,5,1,5,7.26256983240224,1,Sri Lanka,CE,CE,,7,81,CE,1,Sri Lanka,CE,CE,,7,81,CE,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260926001500,"https://home.nzcity.co.nz/news/article.aspx?id=454726&fm=psp,tst"
1324965425,20260919,202609,2026,2026.7096,,,,,,,,,,,USA,UTAH,USA,,,,,,,,0,112,112,11,3,-2.0,1,1,1,-3.62173038229376,0,,,,,,,,3,"Salt Lake City, Utah, United States",US,USUT,,40.7608,-111.891,1454997,3,"Salt Lake City, Utah, United States",US,USUT,,40.7608,-111.891,1454997,20260926001500,https://www.wgauradio.com/news/national/report-finds-many/BQJFN7FYWQ4YLMZNXQUVYBYAWI/
1324965426,20260919,202609,2026,2026.7096,RUS,RUSSIAN,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,046,046,04,1,7.0,2,1,2,-4.0133779264214,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260926001500,http://www.econotimes.com/Putin-Says-Ukraine-Peace-Proposals-Remain-on-Table-1753124
1324965427,20260919,202609,2026,2026.7096,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,046,046,04,1,7.0,2,1,2,-4.0133779264214,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20260926001500,http://www.econotimes.com/Putin-Says-Ukraine-Peace-Proposals-Remain-on-Table-1753124
1324965428,20260926,202609,2026,2026.7288,,,,,,,,,,,AGR,FARMER,,,,,,AGR,,,0,051,051,05,1,3.4,3,1,3,0.91743119266055,0,,,,,,,,4,"Khartoum, Al Khartum, Sudan",SU,SU29,37069,15.5881,32.5342,-1987,4,"Khartoum, Al Khartum, Sudan",SU,SU29,37069,15.5881,32.5342,-1987,20260926001500,https://www.globalissues.org/news/2026/09/25/44170
1324965429,20260926,202609,2026,2026.7288,,,,,,,,,,,AGR,FARMER,,,,,,AGR,,,0,051,051,05,1,3.4,7,1,7,0.91743119266055,0,,,,,,,,1,Syria,SY,SY,,35,38,SY,1,Syria,SY,SY,,35,38,SY,20260926001500,https://www.globalissues.org/news/2026/09/25/44170
