GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1324590423,20250924,202509,2025,2025.7233,GOV,PRESIDENT,,,,,,GOV,,,LEG,GENERAL ASSEMBLY,,,,,,LEG,,,1,010,010,01,1,0.0,6,1,6,-4.87804878048781,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,20260924013000,https://www.newser.com/story/396951/zelensky-calls-for-peace-before-ai-decides-wars.html
1324590424,20250924,202509,2025,2025.7233,GOV,PRESIDENT,,,,,,GOV,,,LEG,GENERAL ASSEMBLY,,,,,,LEG,,,1,192,192,19,4,-9.5,4,1,4,-4.87804878048781,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,20260924013000,https://www.newser.com/story/396951/zelensky-calls-for-peace-before-ai-decides-wars.html
1324590425,20250924,202509,2025,2025.7233,UKR,UKRAINE,UKR,,,,,,,,LEG,GENERAL ASSEMBLY,,,,,,LEG,,,1,013,013,01,1,0.4,2,1,2,-4.87804878048781,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,20260924013000,https://www.newser.com/story/396951/zelensky-calls-for-peace-before-ai-decides-wars.html
1324590426,20250924,202509,2025,2025.7233,UKRGOV,UKRAINE,UKR,,,,,GOV,,,LEG,GENERAL ASSEMBLY,,,,,,LEG,,,1,192,192,19,4,-9.5,1,1,1,-4.87804878048781,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,1,Ukraine,UP,UP,,49,32,UP,20260924013000,https://www.newser.com/story/396951/zelensky-calls-for-peace-before-ai-decides-wars.html
1324590427,20250924,202509,2025,2025.7233,USA,UNITED STATES,USA,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,1,070,070,07,2,7.0,4,1,4,-1.7474185861795,3,"Fort Worth, Texas, United States",US,USTX,TX439,32.7254,-97.3208,1380947,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20260924013000,https://www.nbcdfw.com/news/national-international/billionaire-political-contributions-epstein-ohio-us-senate-race/4081657/
1324590428,20260825,202608,2026,2026.6438,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,173,173,17,4,-5.0,4,1,4,-3.75690607734806,0,,,,,,,,3,"Maricopa County, Arizona, United States",US,USAZ,,33.5,-112.501,37026,3,"Maricopa County, Arizona, United States",US,USAZ,,33.5,-112.501,37026,20260924013000,https://www.kold.com/2026/09/23/kyrsten-sinemas-ex-bodyguard-accused-causing-200k-damage-her-cave-creek-home/
1324590429,20260825,202608,2026,2026.6438,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,IRN,TEHRAN,IRN,,,,,,,,0,031,031,03,1,5.2,8,1,8,-6.44276901987663,4,"Dubai, Dubayy, United Arab Emirates",AE,AE03,28575,25.2522,55.28,-782831,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260924013000,https://yalibnan.com/2026/09/24/middle-east-war-updates-u-s-and-iran-hold-first-talks-since-june-after-trump-threatens-regime-with-annihilation/
1324590430,20260825,202608,2026,2026.6438,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,IRN,TEHRAN,IRN,,,,,,,,0,031,031,03,1,5.2,2,1,2,-6.44276901987663,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20260924013000,https://yalibnan.com/2026/09/24/middle-east-war-updates-u-s-and-iran-hold-first-talks-since-june-after-trump-threatens-regime-with-annihilation/
1324590431,20260825,202608,2026,2026.6438,COP,PRISON,,,,,,COP,,,MEX,MEXICO,MEX,,,,,,,,1,036,036,03,1,4.0,4,1,4,0.23041474654378,1,Mexico,MX,MX,,23,-102,MX,1,Mexico,MX,MX,,23,-102,MX,1,Mexico,MX,MX,,23,-102,MX,20260924013000,https://sfist.com/2026/09/23/omg-elizabeth-holmes-is-reportedly-getting-moved-to-a-halfway-house-next-year/
1324590432,20260825,202608,2026,2026.6438,EDU,SCHOOL,,,,,,EDU,,,CVL,COMMUNITY,,,,,,CVL,,,1,114,114,11,3,-2.0,10,1,10,-4.02298850574713,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260924013000,https://www.times-standard.com/2026/09/23/fortuna-union-high-school-district-to-reimburse-bridgeville-students-for-lack-of-bus-service/
