GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1309909008,20250620,202506,2025,2025.4658,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,173,173,17,4,-5.0,4,1,4,-4.06852248394004,0,,,,,,,,3,"Chicago, Illinois, United States",US,USIL,IL031,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,IL031,41.85,-87.6501,423587,20260620013000,https://chicago.suntimes.com/news/2026/06/19/arnoldo-jimenez-murder-charge-wife-killed-wedding-night-mexico-extradited
1309909009,20250620,202506,2025,2025.4658,COP,POLICE,,,,,,COP,,,,,,,,,,,,,0,170,170,17,4,-7.0,10,1,10,-7.84313725490196,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,0,,,,,,,,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260620013000,https://www.independent.co.uk/news/uk/crime/central-london-car-meets-stunts-anti-social-westminster-b2999438.html
1309909010,20250620,202506,2025,2025.4658,FRA,FRANCE,FRA,,,,,,,,ITA,ITALY,ITA,,,,,,,,1,042,042,04,1,1.9,1,1,1,-0.73982737361282,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,20260620013000,https://attackofthefanboy.com/entertainment/luca-guadagninos-sam-altman-movie-artificial-was-almost-finished-but-amazon-just-dropped-it-following-openai-partnership/
1309909011,20250620,202506,2025,2025.4658,FRA,FRANCE,FRA,,,,,,,,ITA,ITALY,ITA,,,,,,,,1,042,042,04,1,1.9,1,1,1,-0.73982737361282,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,1,Italy,IT,IT,,42.833333,12.833333,IT,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,20260620013000,https://attackofthefanboy.com/entertainment/luca-guadagninos-sam-altman-movie-artificial-was-almost-finished-but-amazon-just-dropped-it-following-openai-partnership/
1309909012,20250620,202506,2025,2025.4658,GBR,LONDON,GBR,,,,,,,,,,,,,,,,,,0,036,036,03,1,4.0,7,1,7,-0.0426257459505499,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,0,,,,,,,,4,"Buckingham Palace, Westminster, United Kingdom",UK,UKP5,40110,51.5,-0.133333,-2591190,20260620013000,https://www.dailymail.com/lifestyle/article-15914671/Harry-Meghan-children-return-UK-Archie-Lilibet-manipulation-cousins.html
1309909013,20250620,202506,2025,2025.4658,ITA,ITALY,ITA,,,,,,,,FRA,FRANCE,FRA,,,,,,,,1,043,043,04,1,2.8,1,1,1,-0.73982737361282,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,20260620013000,https://attackofthefanboy.com/entertainment/luca-guadagninos-sam-altman-movie-artificial-was-almost-finished-but-amazon-just-dropped-it-following-openai-partnership/
1309909014,20250620,202506,2025,2025.4658,ITA,ITALY,ITA,,,,,,,,FRA,FRANCE,FRA,,,,,,,,1,043,043,04,1,2.8,1,1,1,-0.73982737361282,1,Italy,IT,IT,,42.833333,12.833333,IT,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,4,"Bezo, France (general), France",FR,FR00,16331,46.1614,4.18412,-1412496,20260620013000,https://attackofthefanboy.com/entertainment/luca-guadagninos-sam-altman-movie-artificial-was-almost-finished-but-amazon-just-dropped-it-following-openai-partnership/
1309909015,20250620,202506,2025,2025.4658,MIL,AIR FORCE,,,,,,MIL,,,,,,,,,,,,,0,010,010,01,1,0.0,10,1,10,2.29709035222052,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260620013000,https://www.wcbi.com/trump-unveils-new-air-force-one-a-400-million-plane-gifted-by-qatar/
1309909016,20250620,202506,2025,2025.4658,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,111,111,11,3,-2.0,4,1,4,-0.61475409836065,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,0,,,,,,,,3,"San Francisco, California, United States",US,USCA,,37.7749,-122.419,277593,20260620013000,https://www.yardbarker.com/mlb/articles/why_mariners_should_target_giants_contact_king_luis_arraez_before_2026_mlb_trade_deadline/s1_13132_43973882
1309909017,20260521,202605,2026,2026.3863,JUD,JUDICIARY,,,,,,JUD,,,,,,,,,,,,,0,115,115,11,3,-2.0,10,1,10,-4.12517780938833,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260620013000,https://www.wcbi.com/judge-denies-bidens-bid-to-block-doj-from-releasing-conversations-with-biographer/
1309909018,20260613,202606,2026,2026.4466,CHE,SWITZERLAND,CHE,,,,,,,,CVL,POPULATION,,,,,,CVL,,,0,191,191,19,4,-9.5,10,1,10,-2.25941422594142,1,Switzerland,SZ,SZ,,47,8,SZ,1,Switzerland,SZ,SZ,,47,8,SZ,1,Switzerland,SZ,SZ,,47,8,SZ,20260620013000,https://www.thehindu.com/news/national/eu-passes-law-allowing-offshore-deportation-centres/article71122485.ece
1309909019,20260613,202606,2026,2026.4466,JUD,DISTRICT COURT,,,,,,JUD,,,,,,,,,,,,,0,010,010,01,1,0.0,10,1,10,-10.4790419161676,2,"Washington, United States",US,USWA,,47.3917,-121.571,WA,0,,,,,,,,2,"Washington, United States",US,USWA,,47.3917,-121.571,WA,20260620013000,https://www.yoursourceone.com/south_sound/columbia_basin/family-pushes-for-second-degree-assault-charge-after-disabled-ephrata-man-was-allegedly-punched-at/article_b5a33415-b237-4b48-93f6-bce8f5f513d6.html
