GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1302994532,20250508,202505,2025,2025.3507,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,060,060,06,2,6.0,8,1,8,2.26700251889169,3,"Daviess County, Kentucky, United States",US,USKY,KY059,37.7,-87.1167,516876,0,,,,,,,,3,"Daviess County, Kentucky, United States",US,USKY,,37.7,-87.1167,516876,20260508013000,https://www.messenger-inquirer.com/news/local/mccarty-proud-of-record-as-daviess-county-clerk/article_88059d5f-c9d3-5594-840e-2af6d3646da1.html
1302994533,20250508,202505,2025,2025.3507,afr,AFRIKANERS,,,afr,,,,,,REF,REFUGEE,,,,,,REF,,,1,020,020,02,1,3.0,5,1,5,-5.6687898089172,4,"Afrikaner, North-West, South Africa",SF,SF10,77350,-26.842,26.5632,-1206313,4,"Afrikaner, North-West, South Africa",SF,SF10,77350,-26.842,26.5632,-1206313,4,"Afrikaner, North-West, South Africa",SF,SF10,77350,-26.842,26.5632,-1206313,20260508013000,https://www.nzherald.co.nz/world/trump-administration-weighs-citing-emergency-to-admit-more-afrikaners-as-refugees/premium/HIRPUNBA2VFNNPLDJIW7CII644/
1302994534,20260408,202604,2026,2026.2685,,,,,,,,,,,USA,IDAHO,USA,,,,,,,,1,1243,124,12,3,-4.0,10,1,10,-2.89473684210526,0,,,,,,,,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,20260508013000,https://localnews8.com/news/2026/05/07/idaho-falls-ex-council-candidate-arrested/
1302994535,20260408,202604,2026,2026.2685,CRM,CRIMINAL,,,,,,CRM,,,MEDMED,MAGAZINE,,,,,,MED,MED,,1,090,090,09,2,-2.0,2,1,2,1.27795527156549,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260508013000,https://www.dailykos.com/stories/2026/5/7/800034814/community/evening-shade-resistance-rising-thursday-may-7-2026/
1302994536,20260408,202604,2026,2026.2685,CRM,CRIMINAL,,,,,,CRM,,,MEDMED,MAGAZINE,,,,,,MED,MED,,1,090,090,09,2,-2.0,3,1,3,1.27795527156549,2,"Tennessee, United States",US,USTN,,35.7449,-86.7489,TN,2,"Tennessee, United States",US,USTN,,35.7449,-86.7489,TN,2,"Tennessee, United States",US,USTN,,35.7449,-86.7489,TN,20260508013000,https://www.dailykos.com/stories/2026/5/7/800034814/community/evening-shade-resistance-rising-thursday-may-7-2026/
1302994537,20260408,202604,2026,2026.2685,MNCUSA,US AIRWAYS,USA,,,,,MNC,,,,,,,,,,,,,1,012,012,01,1,-0.4,10,1,10,1.92307692307692,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,0,,,,,,,,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260508013000,https://eturbonews.com/survivors-hudson-river-air-crash-consider-suing-airline/
1302994538,20260501,202605,2026,2026.3315,,,,,,,,,,,USA,SAN DIEGO,USA,,,,,,,,1,0841,084,08,2,7.0,10,1,10,-2.16216216216217,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20260508013000,https://www.times-advocate.com/articles/esco-unsheltered-homeless-declines-11-7/
1302994539,20260501,202605,2026,2026.3315,CHN,BEIJING,CHN,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,036,036,03,1,4.0,2,1,2,-1.36986301369863,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260508013000,https://asia.nikkei.com/spotlight/policy-asia/set-to-host-trump-xi-targets-stability-under-cloud-of-iran-uncertainty
1302994540,20260501,202605,2026,2026.3315,CHN,BEIJING,CHN,,,,,,,,USAMIL,AMERICAN,USA,,,,,MIL,,,1,036,036,03,1,4.0,6,1,6,-1.36986301369863,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20260508013000,https://asia.nikkei.com/spotlight/policy-asia/set-to-host-trump-xi-targets-stability-under-cloud-of-iran-uncertainty
1302994541,20260501,202605,2026,2026.3315,COP,POLICE,,,,,,COP,,,NZL,CHRISTCHURCH,NZL,,,,,,,,1,010,010,01,1,0.0,10,1,10,-5.08474576271186,0,,,,,,,,0,,,,,,,,0,,,,,,,,20260508013000,https://www.miragenews.com/police-seek-info-on-fatal-burnside-crash-1669847/
